2022-12-19 06:57:23: PING 217.25.239.31 (217.25.239.31) 56(84) bytes of data.
2022-12-19 06:57:23: 64 bytes from 217.25.239.31: icmp_seq=1 ttl=58 time=10.1 ms
2022-12-19 06:57:38: 64 bytes from 217.25.239.31: icmp_seq=2 ttl=58 time=11.4 ms
2022-12-19 06:57:53: 64 bytes from 217.25.239.31: icmp_seq=3 ttl=58 time=11.9 ms
2022-12-19 06:58:08: 64 bytes from 217.25.239.31: icmp_seq=4 ttl=58 time=10.8 ms
2022-12-19 06:58:23: 64 bytes from 217.25.239.31: icmp_seq=5 ttl=58 time=10.4 ms
2022-12-19 06:58:38: 64 bytes from 217.25.239.31: icmp_seq=6 ttl=58 time=10.6 ms
2022-12-19 06:58:53: 64 bytes from 217.25.239.31: icmp_seq=7 ttl=58 time=10.4 ms
2022-12-19 06:59:09: 64 bytes from 217.25.239.31: icmp_seq=8 ttl=58 time=10.8 ms
2022-12-19 06:59:24: 64 bytes from 217.25.239.31: icmp_seq=9 ttl=58 time=10.2 ms
2022-12-19 06:59:39: 64 bytes from 217.25.239.31: icmp_seq=10 ttl=58 time=10.2 ms
2022-12-19 06:59:54: 64 bytes from 217.25.239.31: icmp_seq=11 ttl=58 time=12.0 ms
2022-12-19 07:00:09: 64 bytes from 217.25.239.31: icmp_seq=12 ttl=58 time=11.8 ms
2022-12-19 07:00:24: 64 bytes from 217.25.239.31: icmp_seq=13 ttl=58 time=10.4 ms
2022-12-19 07:00:39: 64 bytes from 217.25.239.31: icmp_seq=14 ttl=58 time=10.4 ms
2022-12-19 07:00:54: 64 bytes from 217.25.239.31: icmp_seq=15 ttl=58 time=11.0 ms
2022-12-19 07:01:09: 64 bytes from 217.25.239.31: icmp_seq=16 ttl=58 time=10.3 ms
2022-12-19 07:01:24: 64 bytes from 217.25.239.31: icmp_seq=17 ttl=58 time=10.5 ms
2022-12-19 07:01:39: 64 bytes from 217.25.239.31: icmp_seq=18 ttl=58 time=10.8 ms
2022-12-19 07:01:54: 64 bytes from 217.25.239.31: icmp_seq=19 ttl=58 time=10.1 ms
2022-12-19 07:02:09: 64 bytes from 217.25.239.31: icmp_seq=20 ttl=58 time=10.2 ms
2022-12-19 07:02:24: 64 bytes from 217.25.239.31: icmp_seq=21 ttl=58 time=11.8 ms
2022-12-19 07:02:39: 64 bytes from 217.25.239.31: icmp_seq=22 ttl=58 time=10.9 ms
2022-12-19 07:02:54: 64 bytes from 217.25.239.31: icmp_seq=23 ttl=58 time=11.0 ms
2022-12-19 07:03:09: 64 bytes from 217.25.239.31: icmp_seq=24 ttl=58 time=10.4 ms
2022-12-19 07:03:24: 64 bytes from 217.25.239.31: icmp_seq=25 ttl=58 time=11.6 ms
2022-12-19 07:03:39: 64 bytes from 217.25.239.31: icmp_seq=26 ttl=58 time=10.8 ms
2022-12-19 07:03:54: 64 bytes from 217.25.239.31: icmp_seq=27 ttl=58 time=10.9 ms
2022-12-19 07:04:09: 64 bytes from 217.25.239.31: icmp_seq=28 ttl=58 time=11.3 ms
2022-12-19 07:04:24: 64 bytes from 217.25.239.31: icmp_seq=29 ttl=58 time=10.3 ms
2022-12-19 07:04:39: 64 bytes from 217.25.239.31: icmp_seq=30 ttl=58 time=10.3 ms
2022-12-19 07:04:54: 64 bytes from 217.25.239.31: icmp_seq=31 ttl=58 time=10.4 ms
2022-12-19 07:05:09: 64 bytes from 217.25.239.31: icmp_seq=32 ttl=58 time=10.8 ms
2022-12-19 07:05:24: 64 bytes from 217.25.239.31: icmp_seq=33 ttl=58 time=10.8 ms
2022-12-19 07:05:39: 64 bytes from 217.25.239.31: icmp_seq=34 ttl=58 time=10.3 ms
2022-12-19 07:05:54: 64 bytes from 217.25.239.31: icmp_seq=35 ttl=58 time=10.6 ms
2022-12-19 07:06:09: 64 bytes from 217.25.239.31: icmp_seq=36 ttl=58 time=11.7 ms
2022-12-19 07:06:24: 64 bytes from 217.25.239.31: icmp_seq=37 ttl=58 time=11.5 ms
2022-12-19 07:06:39: 64 bytes from 217.25.239.31: icmp_seq=38 ttl=58 time=15.4 ms
2022-12-19 07:06:54: 64 bytes from 217.25.239.31: icmp_seq=39 ttl=58 time=11.5 ms
2022-12-19 07:07:09: 64 bytes from 217.25.239.31: icmp_seq=40 ttl=58 time=10.8 ms
2022-12-19 07:07:24: 64 bytes from 217.25.239.31: icmp_seq=41 ttl=58 time=10.6 ms
2022-12-19 07:07:39: 64 bytes from 217.25.239.31: icmp_seq=42 ttl=58 time=10.4 ms
2022-12-19 07:07:54: 64 bytes from 217.25.239.31: icmp_seq=43 ttl=58 time=10.3 ms
2022-12-19 07:08:09: 64 bytes from 217.25.239.31: icmp_seq=44 ttl=58 time=10.4 ms
2022-12-19 07:08:24: 64 bytes from 217.25.239.31: icmp_seq=45 ttl=58 time=11.8 ms
2022-12-19 07:08:39: 64 bytes from 217.25.239.31: icmp_seq=46 ttl=58 time=10.4 ms
2022-12-19 07:08:54: 64 bytes from 217.25.239.31: icmp_seq=47 ttl=58 time=10.9 ms
2022-12-19 07:09:09: 64 bytes from 217.25.239.31: icmp_seq=48 ttl=58 time=11.2 ms
2022-12-19 07:09:24: 64 bytes from 217.25.239.31: icmp_seq=49 ttl=58 time=10.2 ms
2022-12-19 07:09:39: 64 bytes from 217.25.239.31: icmp_seq=50 ttl=58 time=10.4 ms
2022-12-19 07:09:54: 64 bytes from 217.25.239.31: icmp_seq=51 ttl=58 time=11.3 ms
2022-12-19 07:10:09: 64 bytes from 217.25.239.31: icmp_seq=52 ttl=58 time=11.1 ms
2022-12-19 07:10:24: 64 bytes from 217.25.239.31: icmp_seq=53 ttl=58 time=10.1 ms
2022-12-19 07:10:39: 64 bytes from 217.25.239.31: icmp_seq=54 ttl=58 time=10.4 ms
2022-12-19 07:10:54: 64 bytes from 217.25.239.31: icmp_seq=55 ttl=58 time=10.5 ms
2022-12-19 07:11:09: 64 bytes from 217.25.239.31: icmp_seq=56 ttl=58 time=10.5 ms
2022-12-19 07:11:24: 64 bytes from 217.25.239.31: icmp_seq=57 ttl=58 time=10.4 ms
2022-12-19 07:11:39: 64 bytes from 217.25.239.31: icmp_seq=58 ttl=58 time=10.7 ms
2022-12-19 07:11:54: 64 bytes from 217.25.239.31: icmp_seq=59 ttl=58 time=10.3 ms
2022-12-19 07:12:09: 64 bytes from 217.25.239.31: icmp_seq=60 ttl=58 time=10.2 ms
2022-12-19 07:12:24: 64 bytes from 217.25.239.31: icmp_seq=61 ttl=58 time=10.2 ms
2022-12-19 07:12:39: 64 bytes from 217.25.239.31: icmp_seq=62 ttl=58 time=10.6 ms
2022-12-19 07:12:54: 64 bytes from 217.25.239.31: icmp_seq=63 ttl=58 time=11.0 ms
2022-12-19 07:13:09: 64 bytes from 217.25.239.31: icmp_seq=64 ttl=58 time=10.5 ms
2022-12-19 07:13:24: 64 bytes from 217.25.239.31: icmp_seq=65 ttl=58 time=10.2 ms
2022-12-19 07:13:39: 64 bytes from 217.25.239.31: icmp_seq=66 ttl=58 time=10.5 ms
2022-12-19 07:13:54: 64 bytes from 217.25.239.31: icmp_seq=67 ttl=58 time=11.2 ms
2022-12-19 07:14:09: 64 bytes from 217.25.239.31: icmp_seq=68 ttl=58 time=10.2 ms
2022-12-19 07:14:24: 64 bytes from 217.25.239.31: icmp_seq=69 ttl=58 time=10.3 ms
2022-12-19 07:14:39: 64 bytes from 217.25.239.31: icmp_seq=70 ttl=58 time=10.2 ms
2022-12-19 07:14:54: 64 bytes from 217.25.239.31: icmp_seq=71 ttl=58 time=10.5 ms
